Drug_Name,DILI-Concern Label,DILI-Risk Level,DILI-Concern Source
ammonium lactate,Most-DILI-Concern,High,Logistic regression model prediction 
amodiaquine,Most-DILI-Concern,High,Logistic regression model prediction 
amorolfine,Most-DILI-Concern,High,Logistic regression model prediction 
amoxapine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
amoxicillin,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
amperozide,Other-DILI-Concern,Low,Logistic regression model prediction 
amphetamine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
amphotericin b,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
ampicillin,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
ampiroxicam,Other-DILI-Concern,Low,Logistic regression model prediction 
amprenavir,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
amrinone,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
amrubicin,Other-DILI-Concern,Low,Logistic regression model prediction 
amsacrine,Most-DILI-Concern,High,Logistic regression model prediction 
amtolmetin guacil,Most-DILI-Concern,High,Logistic regression model prediction 
anagliptin,Most-DILI-Concern,High,Logistic regression model prediction 
anagrelide,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
anakinra,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
anastrozole,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
anecortave acetate,Most-DILI-Concern,High,Logistic regression model prediction 
anethole trithione,Other-DILI-Concern,Low,Logistic regression model prediction 
anidulafungin,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
aniracetam,Most-DILI-Concern,High,Logistic regression model prediction 
anisindione,Most-DILI-Concern,High,Logistic regression model prediction 
anisotropine,Most-DILI-Concern,High,Logistic regression model prediction 
antazoline,Most-DILI-Concern,High,Logistic regression model prediction 
anthralin,Other-DILI-Concern,Low,Logistic regression model prediction 
antithymocyte globulin,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
apalutamide,Other-DILI-Concern,Low,Logistic regression model prediction 
apixaban,Other-DILI-Concern,Low,Logistic regression model prediction 
aplaviroc,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
apomorphine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
apraclonidine,Other-DILI-Concern,Low,Logistic regression model prediction 
apremilast,Other-DILI-Concern,Low,Logistic regression model prediction 
aprepitant,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
aprindine,Most-DILI-Concern,High,Logistic regression model prediction 
aprotinin,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
arbidol,Other-DILI-Concern,Low,Logistic regression model prediction 
ardeparin,Other-DILI-Concern,Low,Logistic regression model prediction 
argatroban,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
argipressin,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
aripiprazole,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
armodafinil,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
arotinolol,Most-DILI-Concern,High,Logistic regression model prediction 
arsenic trioxide,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
artemether,Other-DILI-Concern,Low,Logistic regression model prediction 
artemisinin,Most-DILI-Concern,High,Logistic regression model prediction 
artemotil,Other-DILI-Concern,Low,Logistic regression model prediction 
artesunate,Other-DILI-Concern,Low,Logistic regression model prediction 
articaine,Other-DILI-Concern,Low,Logistic regression model prediction 
ascorbic acid,Other-DILI-Concern,Low,Logistic regression model prediction 
asenapine,Other-DILI-Concern,Low,Logistic regression model prediction 
asparaginase,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
aspartame,Other-DILI-Concern,Low,Logistic regression model prediction 
aspartic Acid,Most-DILI-Concern,High,Logistic regression model prediction 
aspirin,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
astaxanthin,Most-DILI-Concern,High,Logistic regression model prediction 
astemizole,Most-DILI-Concern,High,Logistic regression model prediction 
ataluren,Other-DILI-Concern,Low,Logistic regression model prediction 
atazanavir,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
atenolol,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
atomoxetine,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
atorvastatin,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
atosiban,Other-DILI-Concern,Low,Logistic regression model prediction 
atovaquone,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
atracurium,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
atropine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
auranofin,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
aurothioglucose,Most-DILI-Concern,High,Logistic regression model prediction 
avanafil,Other-DILI-Concern,Low,Logistic regression model prediction 
avatrombopag,Most-DILI-Concern,High,Logistic regression model prediction 
avibactam,Most-DILI-Concern,High,Logistic regression model prediction 
avobenzone,Most-DILI-Concern,High,Logistic regression model prediction 
axitinib,Other-DILI-Concern,Low,Logistic regression model prediction 
azacitidine,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
azapropazone,Most-DILI-Concern,High,Logistic regression model prediction 
azasetron,Other-DILI-Concern,Low,Logistic regression model prediction 
azatadine,Other-DILI-Concern,Low,Logistic regression model prediction 
azathioprine,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
azelaic acid,Most-DILI-Concern,High,Logistic regression model prediction 
azelastine,Other-DILI-Concern,Low,Logistic regression model prediction 
azelnidipine,Most-DILI-Concern,High,Logistic regression model prediction 
azilsartan,Other-DILI-Concern,Low,Logistic regression model prediction 
azithromycin,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
azlocillin,Other-DILI-Concern,Low,Logistic regression model prediction 
azosemide,Other-DILI-Concern,Low,Logistic regression model prediction 
aztreonam,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
bacampicillin,Other-DILI-Concern,Low,Logistic regression model prediction 
bacitracin,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
baclofen,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
balofloxacin,Other-DILI-Concern,Low,Logistic regression model prediction 
balsalazide,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
bambuterol,Other-DILI-Concern,Low,Logistic regression model prediction 
barbital,Other-DILI-Concern,Low,Logistic regression model prediction 
barnidipine,Other-DILI-Concern,Low,Logistic regression model prediction 
basiliximab,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
bazedoxifene,Other-DILI-Concern,Low,Logistic regression model prediction 
beclamide,Most-DILI-Concern,High,Logistic regression model prediction 
beclomethasone,Other-DILI-Concern,Low,Logistic regression model prediction 
bedaquiline,Most-DILI-Concern,High,Logistic regression model prediction 
bekanamycin,Other-DILI-Concern,Low,Logistic regression model prediction 
belinostat,Other-DILI-Concern,Low,Logistic regression model prediction 
bemegride,Most-DILI-Concern,High,Logistic regression model prediction 
benazepril,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
bendamustine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
bendazac,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
bendroflumethiazide,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
benfluorex,Most-DILI-Concern,High,Logistic regression model prediction 
benfotiamine,Other-DILI-Concern,Low,Logistic regression model prediction 
benidipine,Other-DILI-Concern,Low,Logistic regression model prediction 
benoxaprofen,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
benperidol,Most-DILI-Concern,High,Logistic regression model prediction 
benproperine,Other-DILI-Concern,Low,Logistic regression model prediction 
benserazide,Other-DILI-Concern,Low,Logistic regression model prediction 
bentiromide,Other-DILI-Concern,Low,Logistic regression model prediction 
benzalkonium,Other-DILI-Concern,Low,Logistic regression model prediction 
benzarone,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
benzbromarone,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
benzethonium,Other-DILI-Concern,Low,Logistic regression model prediction 
benziodarone,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
benznidazole,Other-DILI-Concern,Low,Logistic regression model prediction 
benzocaine,Other-DILI-Concern,Low,Logistic regression model prediction 
benzoic acid,Other-DILI-Concern,Low,Logistic regression model prediction 
benzonatate,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
benzoyl peroxide,Other-DILI-Concern,Low,Logistic regression model prediction 
benzphetamine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
benzthiazide,Other-DILI-Concern,Low,Logistic regression model prediction 
benztropine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
benzydamine,Other-DILI-Concern,Low,Logistic regression model prediction 
benzyl alcohol,Other-DILI-Concern,Low,Logistic regression model prediction 
benzyl benzoate,Other-DILI-Concern,Low,Logistic regression model prediction 
benzylpenicillin,Other-DILI-Concern,Low,Logistic regression model prediction 
benzylpenicilloyl polylysine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
bephenium hydroxynaphthoate,Most-DILI-Concern,High,Logistic regression model prediction 
bepotastine,Other-DILI-Concern,Low,Logistic regression model prediction 
bepridil,Most-DILI-Concern,High,Logistic regression model prediction 
besifloxacin,Other-DILI-Concern,Low,Logistic regression model prediction 
beta carotene,Most-DILI-Concern,High,Logistic regression model prediction 
betahistine,Other-DILI-Concern,Low,Logistic regression model prediction 
betaine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
betamethasone,Other-DILI-Concern,Low,Logistic regression model prediction 
betaxolol,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
betazole,Other-DILI-Concern,Low,Logistic regression model prediction 
bethanechol,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
betrixaban,Most-DILI-Concern,High,Logistic regression model prediction 
bevacizumab,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
bevantolol,Other-DILI-Concern,Low,Logistic regression model prediction 
bexarotene,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
bezafibrate,Other-DILI-Concern,Low,Logistic regression model prediction 
biapenem,Most-DILI-Concern,High,Logistic regression model prediction 
bicalutamide,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
bicyclol,Most-DILI-Concern,High,Logistic regression model prediction 
bifemelane,Most-DILI-Concern,High,Logistic regression model prediction 
bifendate,Most-DILI-Concern,High,Logistic regression model prediction 
bifonazole,Other-DILI-Concern,Low,Logistic regression model prediction 
bilastine,Other-DILI-Concern,Low,Logistic regression model prediction 
bimatoprost,Other-DILI-Concern,Low,Logistic regression model prediction 
biotin,Other-DILI-Concern,Low,Logistic regression model prediction 
biperiden,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
bisacodyl,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
bismuth,Other-DILI-Concern,Low,Logistic regression model prediction 
bisoprolol,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
bithionol,Most-DILI-Concern,High,Logistic regression model prediction 
bivalirudin,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
bleomycin,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
blonanserin,Most-DILI-Concern,High,Logistic regression model prediction 
boceprevir,Other-DILI-Concern,Low,Logistic regression model prediction 
bopindolol,Other-DILI-Concern,Low,Logistic regression model prediction 
bortezomib,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
bosentan,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
bosutinib,Most-DILI-Concern,High,Logistic regression model prediction 
botulinum toxin type a,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
botulinum toxin type b,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
bretylium,Other-DILI-Concern,Low,Logistic regression model prediction 
brexpiprazole,Other-DILI-Concern,Low,Logistic regression model prediction 
brigatinib,Most-DILI-Concern,High,Logistic regression model prediction 
brimonidine,Other-DILI-Concern,Low,Logistic regression model prediction 
brinzolamide,Other-DILI-Concern,Low,Logistic regression model prediction 
brivaracetam,Other-DILI-Concern,Low,Logistic regression model prediction 
brivudine,Other-DILI-Concern,Low,Logistic regression model prediction 
brolitene,Most-DILI-Concern,High,Logistic regression model prediction 
bromfenac,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
bromhexine,Other-DILI-Concern,Low,Logistic regression model prediction 
bromocriptine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
bromopride,Other-DILI-Concern,Low,Logistic regression model prediction 
bromperidol,Most-DILI-Concern,High,Logistic regression model prediction 
brompheniramine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
bucillamine,Most-DILI-Concern,High,Logistic regression model prediction 
bucladesine,Other-DILI-Concern,Low,Logistic regression model prediction 
buclizine,Other-DILI-Concern,Low,Logistic regression model prediction 
budesonide,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
budipine,Most-DILI-Concern,High,Logistic regression model prediction 
bufexamac,Other-DILI-Concern,Low,Logistic regression model prediction 
buflomedil,Most-DILI-Concern,High,Logistic regression model prediction 
bumetanide,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
bunazosin,Other-DILI-Concern,Low,Logistic regression model prediction 
buphenine,Other-DILI-Concern,Low,Logistic regression model prediction 
bupivacaine,Other-DILI-Concern,Low,Logistic regression model prediction 
bupranolol,Most-DILI-Concern,High,Logistic regression model prediction 
bupropion,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
buspirone,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
busulfan,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
butabarbital,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
butacaine,Most-DILI-Concern,High,Logistic regression model prediction 
butalbital,Other-DILI-Concern,Low,Logistic regression model prediction 
butamben,Most-DILI-Concern,High,Logistic regression model prediction 
butenafine,Other-DILI-Concern,Low,Logistic regression model prediction 
butibufen,Most-DILI-Concern,High,Logistic regression model prediction 
butoconazole,Other-DILI-Concern,Low,Logistic regression model prediction 
butorphanol,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
cabagin,Most-DILI-Concern,High,Logistic regression model prediction 
cabazitaxel,Other-DILI-Concern,Low,Logistic regression model prediction 
cabergoline,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
cabozantinib,Other-DILI-Concern,Low,Logistic regression model prediction 
cadralazine,Most-DILI-Concern,High,Logistic regression model prediction 
caffeine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
calcifediol,Other-DILI-Concern,Low,Logistic regression model prediction 
calcipotriol,Other-DILI-Concern,Low,Logistic regression model prediction 
calcitonin salmon,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
calcitriol,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
calcium acetate,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
canagliflozin,Other-DILI-Concern,Low,Logistic regression model prediction 
canakinumab,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
candesartan,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
candicidin,Most-DILI-Concern,High,Logistic regression model prediction 
canrenone,Most-DILI-Concern,High,Logistic regression model prediction 
cantharidin,Other-DILI-Concern,Low,Logistic regression model prediction 
capecitabine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
capreomycin,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
caprylic acid,Other-DILI-Concern,Low,Logistic regression model prediction 
capsaicin,Other-DILI-Concern,Low,Logistic regression model prediction 
captopril,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
caramiphen,Other-DILI-Concern,Low,Logistic regression model prediction 
carbachol,Other-DILI-Concern,Low,Logistic regression model prediction 
carbamazepine,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
carbaril,Other-DILI-Concern,Low,Logistic regression model prediction 
carbarsone,Other-DILI-Concern,Low,Logistic regression model prediction 
carbazochrome,Other-DILI-Concern,Low,Logistic regression model prediction 
carbenicillin,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
carbenoxolone,Most-DILI-Concern,High,Logistic regression model prediction 
carbetapentane,Other-DILI-Concern,Low,Logistic regression model prediction 
carbetocin,Other-DILI-Concern,Low,Logistic regression model prediction 
carbidopa,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
carbimazole,Most-DILI-Concern,High,Logistic regression model prediction 
carbinoxamine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
carboplatin,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
carboprost tromethamine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
carfilzomib,Other-DILI-Concern,Low,Logistic regression model prediction 
carglumic acid,Other-DILI-Concern,Low,Logistic regression model prediction 
carisoprodol,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
carmofur,Other-DILI-Concern,Low,Logistic regression model prediction 
carmustine,Most-DILI-Concern,High,Logistic regression model prediction 
carprofen,Other-DILI-Concern,Low,Logistic regression model prediction 
carteolol,Other-DILI-Concern,Low,Logistic regression model prediction 
carumonam,Most-DILI-Concern,High,Logistic regression model prediction 
carvedilol,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
caspofungin,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
cefaclor,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
cefadroxil,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
cefamandole,Other-DILI-Concern,Low,Logistic regression model prediction 
cefathiamidine,Other-DILI-Concern,Low,Logistic regression model prediction 
cefazolin,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
cefcapene,Other-DILI-Concern,Low,Logistic regression model prediction 
cefdinir,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
cefditoren,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
cefepime,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
cefetamet,Other-DILI-Concern,Low,Logistic regression model prediction 
cefixime,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
cefmenoxime,Other-DILI-Concern,Low,Logistic regression model prediction 
cefmetazole,Most-DILI-Concern,High,Logistic regression model prediction 
cefminox,Other-DILI-Concern,Low,Logistic regression model prediction 
cefodizime,Most-DILI-Concern,High,Logistic regression model prediction 
cefonicid,Other-DILI-Concern,Low,Logistic regression model prediction 
cefoperazone,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
ceforanide,Most-DILI-Concern,High,Logistic regression model prediction 
cefoselis,Most-DILI-Concern,High,Logistic regression model prediction 
cefotaxime,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
cefotetan,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
cefotiam,Most-DILI-Concern,High,Logistic regression model prediction 
