drug,Blood and lymphatic system disorders,Cardiac disorders,"Congenital, familial and genetic disorders",Ear and labyrinth disorders,Endocrine disorders,Eye disorders,Gastrointestinal disorders,General disorders and administration site conditions,Hepatobiliary disorders,Immune system disorders,Infections and infestations,"Injury, poisoning and procedural complications",Investigations,Metabolism and nutrition disorders,Musculoskeletal and connective tissue disorders,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",Nervous system disorders,"Pregnancy, puerperium and perinatal conditions",Product issues,Psychiatric disorders,Renal and urinary disorders,Reproductive system and breast disorders,"Respiratory, thoracic and mediastinal disorders",Skin and subcutaneous tissue disorders,Social circumstances,Surgical and medical procedures,Vascular disorders,DILIConcern,DILI Risk Level,DILIConcern source
acebutolol,0.026230395,0.106003245,0.004056247,0.007301244,0.001892915,0.027041644,0.063547864,0.114926988,0.019469984,0.006760411,0.017036236,0.029745809,0.044348296,0.02812331,0.03650622,0.002163332,0.094375338,0.00378583,0.010275825,0.042184965,0.020010817,0.016224986,0.051379124,0.156300703,0.000811249,0.000270416,0.069226609,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
aceclidine,0,0.00952381,0.00952381,0.00952381,0,0.428571429,0.019047619,0.076190476,0,0.019047619,0.20952381,0,0,0,0,0,0.142857143,0,0,0,0,0,0.038095238,0.00952381,0,0,0.028571429,Most-DILI-Concern,High,Logistic regression model predictions 
aceclofenac,0.007619796,0.010840534,7.86E-05,0.005577376,0.000314218,0.013904163,0.303299293,0.13487824,0.009583661,0.018538885,0.003849175,0.005891595,0.030871956,0.008798115,0.007541241,0.000314218,0.134799686,0.000157109,7.86E-05,0.022859387,0.020895522,0.004241948,0.029693637,0.202199529,0,0.000392773,0.022780833,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
acedapsone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Most-DILI-Concern,High,Logistic regression model predictions 
acefylline,0,0.076923077,0,0,0,0,0.205128205,0.076923077,0,0,0,0,0,0,0,0,0.128205128,0,0,0.128205128,0.025641026,0,0.051282051,0.282051282,0,0,0.025641026,Other-DILI-Concern,Low,Logistic regression model predictions 
aceglutamide,0,0.087824351,0,0.00499002,0,0.006986028,0.100798403,0.25748503,0.003992016,0.0249501,0.000998004,0.000998004,0.022954092,0,0.003992016,0,0.141716567,0,0,0.015968064,0.000998004,0.000998004,0.046906188,0.231536926,0,0,0.045908184,Most-DILI-Concern,High,Logistic regression model predictions 
acemetacin,0.064400716,0.030411449,0.000894454,0.012522361,0.000894454,0.025939177,0.244186047,0.078711986,0.021466905,0.019677996,0.012522361,0.019677996,0.023255814,0.023255814,0.011627907,0.003577818,0.113595707,0.003577818,0,0.044722719,0.042039356,0.006261181,0.046511628,0.123434705,0,0.000894454,0.025939177,Other-DILI-Concern,Low,Logistic regression model predictions 
acenocoumarol,0.108053691,0.015487868,0.001032525,0.002632938,0.000929272,0.008518327,0.179297883,0.063190501,0.007589055,0.001084151,0.006350026,0.06716572,0.159163655,0.008053691,0.023335054,0.001239029,0.091894682,0.001703665,0.000877646,0.005730511,0.046566856,0.006246773,0.062416107,0.053588023,0.000516262,0.00082602,0.076510067,Most-DILI-Concern,High,Logistic regression model predictions 
acepromazine,0.035714286,0.035714286,0,0,0,0.071428571,0,0.107142857,0,0,0.035714286,0.178571429,0,0.035714286,0.035714286,0,0.214285714,0,0,0.071428571,0.035714286,0,0.035714286,0.035714286,0,0,0.071428571,Other-DILI-Concern,Low,Logistic regression model predictions 
acetaminophen,0.017125171,0.019916957,0.001725315,0.003483809,0.000450288,0.032212195,0.098139125,0.119762437,0.05372175,0.01904956,0.014357083,0.142817192,0.04460223,0.013750379,0.011024951,0.001346125,0.066201843,0.002640111,0.017390604,0.058978272,0.01752332,0.00192439,0.035601206,0.183442666,0.00190543,0.002829706,0.018077886,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
acetarsol,0.021276596,0.021276596,0,0.021276596,0,0,0.042553191,0.212765957,0.042553191,0,0.021276596,0,0,0,0.085106383,0,0.127659574,0,0,0.021276596,0,0.021276596,0.021276596,0.340425532,0,0,0,Most-DILI-Concern,High,Logistic regression model predictions 
acetazolamide,0.034213515,0.019023282,0.006246451,0.016042022,0.000851789,0.031516184,0.09241908,0.108603066,0.009653606,0.018029529,0.009653606,0.031232254,0.04088586,0.08560477,0.025553663,0.001987507,0.181147076,0.003975014,0.003691085,0.045570698,0.054940375,0.00354912,0.037194776,0.108603066,0.000851789,0.003691085,0.025269733,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
acetohexamide,0.084337349,0,0,0,0,0,0.024096386,0.096385542,0.036144578,0.012048193,0,0.036144578,0.024096386,0.337349398,0,0,0.120481928,0,0,0.036144578,0.036144578,0,0.024096386,0.120481928,0,0,0.012048193,Other-DILI-Concern,Low,Logistic regression model predictions 
acetohydroxamic acid,0.012658228,0.037974684,0,0,0,0,0.088607595,0.126582278,0,0,0.012658228,0.037974684,0.025316456,0.088607595,0.050632911,0,0.164556962,0,0,0.088607595,0,0,0.075949367,0.088607595,0,0,0.101265823,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
acetophenazine,0.047619048,0,0,0,0,0,0,0.095238095,0.095238095,0,0,0,0.047619048,0.047619048,0,0,0.428571429,0,0,0.047619048,0.095238095,0,0,0.095238095,0,0,0,Most-DILI-Concern,High,Logistic regression model predictions 
acetylcholine,0.017073171,0.048780488,0,0,0,0.573170732,0.002439024,0.087804878,0.002439024,0.004878049,0.053658537,0.07804878,0.034146341,0,0.004878049,0.002439024,0.019512195,0,0.02195122,0,0.002439024,0,0.012195122,0.004878049,0,0.009756098,0.019512195,Most-DILI-Concern,High,Logistic regression model predictions 
acetylcysteine,0.009135083,0.024295432,0.000923226,0.003401361,0,0.015111759,0.231146744,0.110301263,0.005976676,0.031924198,0.010301263,0.025558795,0.01856171,0.007531584,0.009961127,0.000485909,0.106413994,0.001068999,0.002964043,0.029591837,0.009620991,0.002478134,0.083430515,0.230417881,0.000145773,0.000874636,0.028377065,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
acexamic acid,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0.333333333,0,0,0,Most-DILI-Concern,High,Logistic regression model predictions 
aciclovir,0.02739504,0.015107797,0.00389042,0.006970336,0.001458907,0.020392284,0.097908899,0.151920895,0.01954936,0.018284973,0.041822013,0.026357594,0.048014265,0.016080402,0.027654401,0.004247042,0.115448209,0.003436538,0.007683579,0.052682769,0.083481926,0.006094991,0.026130653,0.154514508,0.001329227,0.002626033,0.01951694,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
acipimox,0.004322767,0.020172911,0,0.010086455,0,0.017291066,0.141210375,0.096541787,0.0129683,0.017291066,0.010086455,0,0.011527378,0.0129683,0.028818444,0,0.090778098,0,0,0.021613833,0.001440922,0.004322767,0.027377522,0.332853026,0,0,0.13832853,Most-DILI-Concern,High,Logistic regression model predictions 
acitazanolast,0,0.016949153,0,0,0,0.440677966,0.084745763,0.033898305,0,0.050847458,0,0.050847458,0.016949153,0,0,0,0.118644068,0,0,0.050847458,0,0,0.016949153,0.118644068,0,0,0,Other-DILI-Concern,Low,Logistic regression model predictions 
acitretin,0.020655156,0.016298209,0.004679684,0.008229789,0.003066,0.035823786,0.084879781,0.132806197,0.03437147,0.005325157,0.032596418,0.053735679,0.064870098,0.030659997,0.055833468,0.020977893,0.071002098,0.007584315,0.002581894,0.02727126,0.017427788,0.016459577,0.033080523,0.183475875,0.004195579,0.012263999,0.019848314,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
aclarubicin,0.379432624,0.035460993,0,0,0,0.010638298,0.095744681,0.063829787,0.035460993,0.007092199,0.127659574,0,0.088652482,0.014184397,0.003546099,0.017730496,0.010638298,0,0,0,0.028368794,0,0.028368794,0.031914894,0,0,0.021276596,Most-DILI-Concern,High,Logistic regression model predictions 
aclidinium,0.001371115,0.024680073,0.000533211,0.007160268,0.002361365,0.036639244,0.046770262,0.092550274,0.000914077,0.007769653,0.042656917,0.164229129,0.045170628,0.012568556,0.022242535,0.014092017,0.062842779,0,0.1761883,0.031002438,0.013482633,0.002209019,0.157906764,0.018205363,0.003808653,0.00274223,0.009902498,Other-DILI-Concern,Low,Logistic regression model predictions 
acriflavine,0,0,0,0,0,0.035714286,0,0.107142857,0,0,0.071428571,0,0,0,0,0,0.071428571,0,0,0,0.035714286,0,0,0.678571429,0,0,0,Other-DILI-Concern,Low,Logistic regression model predictions 
acriflavinium,0,0,0,0,0,0,0,0,0,0,0.166666667,0.166666667,0,0,0,0,0,0,0,0.166666667,0,0,0,0.5,0,0,0,Other-DILI-Concern,Low,Logistic regression model predictions 
acrivastine,0.007936508,0.051587302,0.003968254,0.015873016,0,0.031746032,0.115079365,0.138888889,0.003968254,0.023809524,0.01984127,0.031746032,0.027777778,0,0.035714286,0.007936508,0.194444444,0.003968254,0.003968254,0.051587302,0.011904762,0.015873016,0.043650794,0.134920635,0,0.003968254,0.01984127,Other-DILI-Concern,Low,Logistic regression model predictions 
actarit,0.153846154,0,0,0,0.025641026,0.025641026,0.076923077,0.076923077,0.025641026,0.025641026,0.128205128,0,0.051282051,0.025641026,0.051282051,0,0.025641026,0,0,0.025641026,0.025641026,0,0.076923077,0.179487179,0,0,0,Other-DILI-Concern,Low,Logistic regression model predictions 
actinomycin d,0.155953046,0.012576859,0.007825601,0.010620458,0.004192286,0.002794857,0.133314701,0.116545556,0.069591951,0.003353829,0.049748463,0.063163779,0.050027949,0.021799888,0.013694802,0.065399665,0.047792063,0.004192286,0,0.007266629,0.021799888,0.005030743,0.035774176,0.052263835,0.001397429,0.006707658,0.037171604,Most-DILI-Concern,High,Logistic regression model predictions 
acyclovir,0.027274473,0.015141814,0.003841475,0.006914655,0.001568602,0.020455855,0.097701517,0.152378513,0.019431462,0.018471093,0.042096165,0.027114412,0.04789039,0.016038159,0.027754658,0.004289647,0.115212242,0.003393303,0.007939049,0.052564185,0.083103912,0.006018311,0.025993982,0.153979128,0.001440553,0.002625008,0.019367437,Other-DILI-Concern,Low,Logistic regression model predictions 
adalimumab,0.008574519,0.012746658,0.001019316,0.004712457,0.001570048,0.013364495,0.084141594,0.248723541,0.005581363,0.009971017,0.108091472,0.07546063,0.041167181,0.012689965,0.084850834,0.019753444,0.059517184,0.003125054,0.01530941,0.020713753,0.009990686,0.006607621,0.044281822,0.074935353,0.002839275,0.015283956,0.014977352,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
adapalene,8.91E-05,5.94E-05,0.000237523,0.000118761,5.94E-05,0.019298714,0.003325317,0.046346605,0.000118761,0.030373207,0.005967756,0.121106855,0.000831329,5.94E-05,0.000267213,8.91E-05,0.008283602,0.000445355,0.000118761,0.001039162,2.97E-05,0.000148452,0.001959562,0.757133102,0.000207832,0.000653187,0.001632968,Other-DILI-Concern,Low,Logistic regression model predictions 
adefovir,0.012890289,0.008020624,0.05242051,0.003723861,0.000286451,0.005729017,0.068461759,0.135491263,0.033514752,0.002005156,0.061300487,0.044972787,0.12116872,0.060441134,0.106846176,0.022629619,0.036665712,0.007161272,0.001718705,0.012317388,0.13434546,0.004869665,0.015181896,0.03609281,0.001718705,0.002864509,0.007161272,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
ademetionine,0.003541076,0.038243626,0.002124646,0.007790368,0,0.011331445,0.179886686,0.212464589,0.004249292,0.019121813,0.007790368,0.007082153,0.015580737,0.004957507,0.009206799,0.000708215,0.101983003,0.001416431,0.002832861,0.046033994,0.001416431,0.002124646,0.063739377,0.175637394,0.000708215,0.000708215,0.079320113,Most-DILI-Concern,High,Logistic regression model predictions 
adenosine,0.003689356,0.152185944,0.000368936,0.001844678,0.000184468,0.006456373,0.083748386,0.235565394,0.002951485,0.028961446,0.007932116,0.02361188,0.035971223,0.003873824,0.01512636,0.001291275,0.108282605,0.001106807,0.005165099,0.013097215,0.003689356,0.001291275,0.13392363,0.076738609,0.000368936,0.001844678,0.050728648,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
adiphenine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Most-DILI-Concern,High,Logistic regression model predictions 
adrafinil,0.030487805,0,0,0.006097561,0,0.012195122,0.06097561,0.067073171,0.036585366,0,0.012195122,0.048780488,0.054878049,0.036585366,0.018292683,0,0.176829268,0,0,0.219512195,0.024390244,0,0.024390244,0.140243902,0,0,0.030487805,Most-DILI-Concern,High,Logistic regression model predictions 
adrenalone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Most-DILI-Concern,High,Logistic regression model predictions 
afatinib,0.009702049,0.008611287,0.001492623,0.002698203,0.000688903,0.016016993,0.240197486,0.097364946,0.004650095,0.001148172,0.090992594,0.022389345,0.03387106,0.055514094,0.018772605,0.067856938,0.037487801,0,0.000516677,0.011768758,0.018026293,0.00281302,0.073884838,0.169929387,0.000688903,0.003501923,0.009415007,Other-DILI-Concern,Low,Logistic regression model predictions 
afloqualone,0.001011634,0.005563986,0.000505817,0.002529084,0,0.005563986,0.483560951,0.075366717,0.000505817,0.003540718,0.001011634,0.002529084,0.007081437,0.00809307,0.00809307,0.000505817,0.184623166,0,0,0.016186141,0.016691958,0.003540718,0.019221042,0.142134547,0,0,0.012139605,Other-DILI-Concern,Low,Logistic regression model predictions 
agomelatine,0.008425245,0.025122549,0.002144608,0.013480392,0.00245098,0.019454657,0.088848039,0.100183824,0.034313725,0.003216912,0.011488971,0.061580882,0.119178922,0.024969363,0.032015931,0.004748775,0.142769608,0.003216912,0.000765931,0.177083333,0.013020833,0.011182598,0.012714461,0.058976716,0.007199755,0.004442402,0.017003676,Most-DILI-Concern,High,Logistic regression model predictions 
ajmaline,0.084677419,0.185483871,0,0.004032258,0,0.004032258,0.032258065,0.084677419,0.342741935,0.008064516,0.008064516,0.036290323,0.060483871,0.008064516,0.008064516,0,0.028225806,0,0,0.012096774,0.004032258,0,0.024193548,0.036290323,0,0,0.028225806,Most-DILI-Concern,High,Logistic regression model predictions 
alacepril,0.013605442,0.006802721,0,0.006802721,0,0.020408163,0.068027211,0.040816327,0,0.006802721,0.006802721,0.006802721,0.013605442,0,0.006802721,0,0.074829932,0,0,0,0.006802721,0,0.632653061,0.081632653,0,0,0.006802721,Other-DILI-Concern,Low,Logistic regression model predictions 
alanine,0,0,0,0,0,0,0.444444444,0.111111111,0.111111111,0,0,0.055555556,0,0.055555556,0,0,0.166666667,0,0,0,0,0,0,0.055555556,0,0,0,Most-DILI-Concern,High,Logistic regression model predictions 
albendazole,0.029540734,0.011308562,0.001384722,0.013847219,0.000923148,0.019386107,0.26471267,0.130625433,0.034156474,0.00992384,0.013847219,0.021001616,0.031848604,0.011077775,0.026540503,0.000461574,0.134779598,0.002077083,0.003231018,0.014770367,0.00761597,0.003923379,0.017539811,0.183937226,0.000923148,0.001153935,0.009462266,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
albuterol,0.003045981,0.056406428,0.00148438,0.002874377,0.001304195,0.010450719,0.042755283,0.175234026,0.001750367,0.013239294,0.042051704,0.160192884,0.030253889,0.012535715,0.015744721,0.006186345,0.088093216,0.001904811,0.080945884,0.031909873,0.004907891,0.001750367,0.138030151,0.040713189,0.004822089,0.017992741,0.013419479,Other-DILI-Concern,Low,Logistic regression model predictions 
alcaftadine,0.000874126,0.002622378,0,0.002622378,0.000874126,0.454545455,0.013111888,0.185314685,0.000874126,0.052447552,0.054195804,0.048951049,0.003496503,0.003496503,0.003496503,0,0.078671329,0.000874126,0.007867133,0.013111888,0,0,0.013111888,0.050699301,0.006118881,0,0.002622378,Most-DILI-Concern,High,Logistic regression model predictions 
alclofenac,0.005347594,0.005347594,0,0.003565062,0,0.001782531,0.085561497,0.07486631,0.005347594,0.049910873,0.017825312,0,0.001782531,0.007130125,0.008912656,0,0.026737968,0,0,0.007130125,0.007130125,0.001782531,0.012477718,0.659536542,0,0,0.017825312,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
alcuronium,0,0.18134715,0,0,0,0.006217617,0.006217617,0.05388601,0.002072539,0.12746114,0.002072539,0.001036269,0.003108808,0,0.001036269,0,0.013471503,0,0,0.003108808,0,0.001036269,0.096373057,0.094300518,0,0,0.407253886,Most-DILI-Concern,High,Logistic regression model predictions 
aldesleukin,0.051084337,0.059518072,0.001445783,0.002891566,0.008674699,0.012289157,0.087951807,0.167228916,0.015180723,0.010120482,0.037108434,0.015662651,0.065542169,0.053493976,0.024578313,0.031566265,0.062891566,0,0.000481928,0.038795181,0.051807229,0.002409639,0.068433735,0.060240964,0,0.006024096,0.064578313,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
alectinib,0.023365961,0.027155036,0,0.004736344,0.00252605,0.012630249,0.087464477,0.196400379,0.030944111,0.001263025,0.040416798,0.044521629,0.098515946,0.022418693,0.076413009,0.040732554,0.047994948,0.001263025,0.001263025,0.016419324,0.021471424,0.002210294,0.105462583,0.069782128,0.003157562,0.006630881,0.014840543,Most-DILI-Concern,High,Logistic regression model predictions 
alemtuzumab,0.04793533,0.032689626,0.001323658,0.005814641,0.026898622,0.013945683,0.054931808,0.131254875,0.007823764,0.019736687,0.108539958,0.037346066,0.07419576,0.017042097,0.04524074,0.017467559,0.106152646,0.002954594,0.000520009,0.029900489,0.024865861,0.008816508,0.051126291,0.094026993,0.003758243,0.006405559,0.029285934,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
alendronate,0.021150895,0.023246361,0.003300885,0.010253068,0.01092586,0.020197773,0.123219029,0.093300815,0.007596942,0.010757662,0.042014451,0.111171849,0.040773991,0.033828817,0.15082452,0.020274864,0.055295082,0.000273322,0.008185634,0.035952316,0.021045771,0.013392763,0.036393836,0.040626818,0.004106834,0.029364562,0.032525282,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
alfacalcidol,0.018992568,0.022295623,0.002477291,0.004954583,0.003715937,0.00867052,0.123864575,0.073905863,0.025185797,0.004954583,0.018579686,0.0388109,0.045004129,0.189512799,0.025185797,0.006606111,0.085466557,0.004128819,0.006193229,0.021056978,0.092898431,0.004128819,0.026011561,0.124277457,0,0.002477291,0.020644096,Other-DILI-Concern,Low,Logistic regression model predictions 
alfaxalone,0,0.148325359,0,0,0,0.043062201,0.033492823,0.057416268,0,0.09569378,0.009569378,0,0.004784689,0,0.004784689,0,0.043062201,0,0,0.009569378,0.019138756,0,0.167464115,0.129186603,0,0,0.234449761,Other-DILI-Concern,Low,Logistic regression model predictions 
alfentanil,0.003779698,0.082613391,0.002159827,0.002159827,0,0.011339093,0.218142549,0.05075594,0.009719222,0.095572354,0.003779698,0.02699784,0.02537797,0.002159827,0.009179266,0.000539957,0.142548596,0.007019438,0.00161987,0.008639309,0.002699784,0.002159827,0.110691145,0.114470842,0.000539957,0.000539957,0.064794816,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
alfuzosin,0.021120845,0.049441978,0.000120005,0.013800552,0.000600024,0.022440898,0.097683907,0.131525261,0.013080523,0.003360134,0.012360494,0.029521181,0.041641666,0.009840394,0.030121205,0.005520221,0.187207488,0.00024001,0.010320413,0.033361334,0.042961718,0.027721109,0.036361454,0.09024361,0.001080043,0.001080043,0.08724349,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
alibendol,0,0.018867925,0,0.006289308,0,0.006289308,0.251572327,0.119496855,0.012578616,0.018867925,0.006289308,0,0.031446541,0.006289308,0.006289308,0,0.144654088,0.025157233,0,0.044025157,0.006289308,0.025157233,0.056603774,0.201257862,0,0,0.012578616,Most-DILI-Concern,High,Logistic regression model predictions 
alimemazine,0.034574468,0.041489362,0.001861702,0.003989362,0.003191489,0.021542553,0.06037234,0.084574468,0.026595745,0.001861702,0.006382979,0.095212766,0.057978723,0.020744681,0.026329787,0.000797872,0.240159574,0.001595745,0.001595745,0.094680851,0.02287234,0.005319149,0.040957447,0.057978723,0.002925532,0.001329787,0.043085106,Other-DILI-Concern,Low,Logistic regression model predictions 
aliskiren,0.010005087,0.055197558,0.002034933,0.007630999,0.004069866,0.018568764,0.083347465,0.13422079,0.005765644,0.008394099,0.022129897,0.024249618,0.126505003,0.045701204,0.035696117,0.010852976,0.092843819,0.0007631,0.005341699,0.028149907,0.056045447,0.004154655,0.056045447,0.066644056,0.001865355,0.011022554,0.082753943,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
alizapride,0.021840874,0.048361934,0.001560062,0.00624025,0.004680187,0.021840874,0.074882995,0.118564743,0.015600624,0.020280811,0.010920437,0.015600624,0.026521061,0.020280811,0.026521061,0.004680187,0.213728549,0.003120125,0.001560062,0.037441498,0.017160686,0.018720749,0.03900156,0.179407176,0,0,0.051482059,Other-DILI-Concern,Low,Logistic regression model predictions 
allantoin,0,0,0,0,0,0.1,0,0.1,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0.1,0,0,0.3,0,0,0,Other-DILI-Concern,Low,Logistic regression model predictions 
allopurinol,0.060733927,0.011818818,0.001279872,0.003319668,0.000839916,0.016358364,0.068433157,0.101269873,0.0339966,0.017518248,0.023737626,0.013878612,0.043435656,0.020217978,0.022557744,0.0029997,0.038476152,0.000879912,0.00219978,0.012418758,0.039936006,0.00769923,0.024517548,0.41149885,0.000559944,0.0019998,0.017418258,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
allylestrenol,0.036363636,0.036363636,0.327272727,0,0.018181818,0,0.072727273,0.036363636,0.054545455,0.036363636,0.018181818,0,0.036363636,0.018181818,0,0,0.090909091,0.018181818,0,0,0.036363636,0.036363636,0,0.127272727,0,0,0,Most-DILI-Concern,High,Logistic regression model predictions 
almitrine,0.047945205,0.010273973,0,0.01369863,0,0,0.044520548,0.047945205,0.023972603,0,0,0,0.113013699,0.02739726,0.023972603,0.003424658,0.517123288,0,0,0.023972603,0.006849315,0.003424658,0.020547945,0.061643836,0,0,0.010273973,Most-DILI-Concern,High,Logistic regression model predictions 
almotriptan,0.004338395,0.063991323,0.003253796,0.015184382,0.003253796,0.017353579,0.100867679,0.169197397,0.003253796,0.007592191,0.009761388,0.10845987,0.023861171,0.004338395,0.040130152,0.006507592,0.15835141,0.007592191,0.050976139,0.060737527,0.002169197,0.006507592,0.050976139,0.045553145,0.003253796,0.002169197,0.030368764,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
alogliptin,0.011203117,0.031173892,0.000974184,0.004870921,0.001461276,0.019970774,0.184120799,0.096444228,0.033609352,0.006819289,0.033609352,0.023380419,0.051631758,0.070628349,0.046760838,0.039941549,0.091086215,0,0.000487092,0.01899659,0.026790063,0.004870921,0.04968339,0.136385777,0.000974184,0.003409644,0.010716025,Most-DILI-Concern,High,Logistic regression model predictions 
alosetron,0.006787595,0.0140433,0.000351083,0.00187244,0.000234055,0.005500293,0.504154476,0.167466355,0.007138678,0.001638385,0.029724985,0.019777648,0.036863663,0.02012873,0.029607958,0.003042715,0.047747221,0.00140433,0.002691633,0.027267408,0.00983031,0.009128145,0.016149795,0.019426565,0.001170275,0.003861908,0.012990053,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
