drug,Blood and lymphatic system disorders,Cardiac disorders,"Congenital, familial and genetic disorders",Ear and labyrinth disorders,Endocrine disorders,Eye disorders,Gastrointestinal disorders,General disorders and administration site conditions,Hepatobiliary disorders,Immune system disorders,Infections and infestations,"Injury, poisoning and procedural complications",Investigations,Metabolism and nutrition disorders,Musculoskeletal and connective tissue disorders,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",Nervous system disorders,"Pregnancy, puerperium and perinatal conditions",Product issues,Psychiatric disorders,Renal and urinary disorders,Reproductive system and breast disorders,"Respiratory, thoracic and mediastinal disorders",Skin and subcutaneous tissue disorders,Social circumstances,Surgical and medical procedures,Vascular disorders,DILIConcern,vDILIConcern,SMILES
aceclofenac,0.007619795758051846,0.010840534171249016,7.855459544383346e-05,0.005577376276512176,0.00031421838177533385,0.013904163393558523,0.303299293008641,0.13487824037706206,0.00958366064414768,0.018538884524744698,0.0038491751767478397,0.0058915946582875104,0.03087195600942655,0.008798114689709348,0.007541241162608013,0.00031421838177533385,0.13479968578161822,0.00015710919088766692,7.855459544383346e-05,0.022859387274155537,0.020895522388059702,0.004241948153967007,0.02969363707776905,0.20219952867242733,0.0,0.0003927729772191674,0.022780832678711702,No-DILI-Concern,vLess-DILI-Concern,C1=CC=C(C(=C1)CC(=O)OCC(=O)O)NC2=C(C=CC=C2Cl)Cl
acetaminophen,0.017125170635522526,0.019916957379038373,0.001725314727741544,0.003483808584862733,0.00045028818443804033,0.032212194752009704,0.09813912482936447,0.11976243743364175,0.05372175034127105,0.019049560139541937,0.01435708327013499,0.1428171924768694,0.04460222963749432,0.013750379190050054,0.011024950705293492,0.0013461246776884574,0.06620184286364326,0.0026401107234946155,0.017390603670559685,0.05897827241013196,0.017523320188078263,0.0019243895040194144,0.03560120582435917,0.183442666464432,0.0019054300015167605,0.002829705748521159,0.018077885636280905,Most-DILI-Concern,vMost-DILI-Concern,CC(=O)NC1=CC=C(C=C1)O
acetazolamide,0.03421351504826803,0.01902328222600795,0.006246450880181715,0.016042021578648494,0.0008517887563884157,0.031516183986371384,0.0924190800681431,0.10860306643952301,0.009653605905735378,0.01802952867688813,0.009653605905735378,0.031232254400908575,0.04088586030664395,0.08560477001703577,0.02555366269165247,0.0019875070982396364,0.18114707552526974,0.003975014196479273,0.003691084611016468,0.04557069846678024,0.05494037478705281,0.003549119818285065,0.037194775695627486,0.10860306643952301,0.0008517887563884157,0.003691084611016468,0.025269733106189664,Most-DILI-Concern,vMost-DILI-Concern,CC(=O)NC1=NN=C(S1)S(=O)(=O)N
acetohydroxamic acid,0.012658227848101266,0.0379746835443038,0.0,0.0,0.0,0.0,0.08860759493670886,0.12658227848101267,0.0,0.0,0.012658227848101266,0.0379746835443038,0.02531645569620253,0.08860759493670886,0.05063291139240506,0.0,0.16455696202531644,0.0,0.0,0.08860759493670886,0.0,0.0,0.0759493670886076,0.08860759493670886,0.0,0.0,0.10126582278481013,Less-DILI-Concern,Ambiguous DILI-concern,CC(=O)NO
acetylcysteine,0.00913508260447036,0.02429543245869777,0.0009232264334305152,0.003401360544217687,0.0,0.01511175898931001,0.2311467444120505,0.11030126336248786,0.00597667638483965,0.03192419825072886,0.010301263362487852,0.02555879494655005,0.01856171039844509,0.007531584062196306,0.009961127308066085,0.00048590864917395527,0.1064139941690962,0.0010689990281827016,0.0029640427599611275,0.029591836734693882,0.009620991253644314,0.002478134110787172,0.08343051506316812,0.2304178814382896,0.0001457725947521866,0.0008746355685131195,0.028377065111758987,No-DILI-Concern,vNo-DILI-Concern,CC(=O)N[C@@H](CS)C(=O)O
aciclovir,0.027395039714702547,0.015107797049764954,0.0038904198411411897,0.006970335548711298,0.0014589074404279462,0.0203922840006484,0.0979088993353866,0.15192089479656345,0.019549359701734482,0.018284973253363597,0.041822013292267785,0.02635759442373156,0.04801426487275085,0.016080402010050253,0.02765440103744529,0.004247041659912466,0.1154482087858648,0.0034365375263413845,0.00768357918625385,0.05268276868212028,0.08348192575782136,0.006094991084454529,0.02613065326633166,0.15451450802399092,0.0013292267790565731,0.002626033392770303,0.01951693953639164,Less-DILI-Concern,vLess-DILI-Concern,C1=NC2=C(N1COCCO)NC(=NC2=O)N
acitretin,0.020655155720509924,0.016298208810714858,0.00467968371792803,0.008229788607390674,0.0030659996772631924,0.0358237857027594,0.08487978053897048,0.13280619654671616,0.034371470066161036,0.005325157334193965,0.032596417621429716,0.0537356785541391,0.06487009843472648,0.03065999677263192,0.05583346780700338,0.02097789252864289,0.07100209778925286,0.007584314991124738,0.0025818944650637405,0.027271260287235758,0.017427787639180247,0.016459577214781345,0.033080522833629174,0.1834758754235921,0.004195578505728578,0.01226399870905277,0.019848313700177502,Most-DILI-Concern,vMost-DILI-Concern,CC1=CC(=C(C(=C1/C=C/C(=C/C=C/C(=C\C(=O)O)/C)/C)C)C)OC
adalimumab,0.00857451941155032,0.01274665771920792,0.0010193160979052533,0.004712456829475706,0.001570047610507865,0.013364495172421772,0.08414159353468972,0.24872354087966636,0.0055813630604936906,0.0099710171756498,0.10809147233904698,0.07546063021734226,0.0411671805670452,0.012689964769381178,0.08485083390701201,0.019753443518202487,0.059517184327291875,0.003125054234327002,0.01530941045117175,0.020713752668328887,0.009990686158242749,0.0066076211522552815,0.0442818218105877,0.07493535268221288,0.002839275487241193,0.01528395647369852,0.014977351745043704,Less-DILI-Concern,vLess-DILI-Concern,
adefovir,0.012890289315382412,0.008020624462904613,0.05242050988255514,0.0037238613577771406,0.0002864508736751647,0.005729017473503294,0.06846175880836436,0.1354912632483529,0.03351475221999427,0.002005156115726153,0.06130048696648525,0.044972787167000865,0.12116871956459467,0.06044113434545975,0.10684617588083643,0.022629619020338013,0.03666571183042108,0.007161271841879119,0.0017187052420509885,0.01231738756803208,0.13434545975365225,0.0048696648524778,0.015181896304783732,0.03609281008307076,0.0017187052420509885,0.002864508736751647,0.007161271841879119,Less-DILI-Concern,vLess-DILI-Concern,CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C1N=CN=C2N)OCOC(=O)C(C)(C)C
adenosine,0.0036893562073418186,0.15218594355285006,0.00036893562073418186,0.0018446781036709093,0.00018446781036709093,0.0064563733628481825,0.08374838590665927,0.23556539383877514,0.002951484965873455,0.028961446227633282,0.007932115845784909,0.02361187972698764,0.03597122302158273,0.00387382401770891,0.01512636045010146,0.0012912746725696365,0.10828260468548237,0.0011068068622025458,0.005165098690278546,0.013097214536063457,0.0036893562073418186,0.0012912746725696365,0.13392363032650806,0.07673860911270983,0.00036893562073418186,0.0018446781036709093,0.050728647850950014,No-DILI-Concern,vNo-DILI-Concern,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O
albendazole,0.029540733902607894,0.011308562197092085,0.0013847219016847447,0.01384721901684745,0.0009231479344564967,0.019386106623586433,0.2647126702054004,0.13062543272559424,0.03415647357489038,0.00992384029540734,0.01384721901684745,0.0210016155088853,0.031848603738749134,0.011077775213477959,0.02654050311562428,0.00046157396722824846,0.13477959843064852,0.002077082852527117,0.0032310177705977385,0.014770366951303947,0.007615970459266097,0.003923378721440111,0.017539810754673438,0.18393722594045694,0.0009231479344564967,0.0011539349180706207,0.00946226632817909,Most-DILI-Concern,vMost-DILI-Concern,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
alclofenac,0.0053475935828877,0.0053475935828877,0.0,0.0035650623885918,0.0,0.0017825311942959,0.0855614973262032,0.0748663101604278,0.0053475935828877,0.049910873440285206,0.017825311942959002,0.0,0.0017825311942959,0.0071301247771836,0.008912655971479501,0.0,0.026737967914438502,0.0,0.0,0.0071301247771836,0.0071301247771836,0.0017825311942959,0.0124777183600713,0.6595365418894831,0.0,0.0,0.017825311942959002,Most-DILI-Concern,vMost-DILI-Concern,C=CCOC1=C(C=C(C=C1)CC(=O)O)Cl
aldesleukin,0.05108433734939759,0.05951807228915663,0.0014457831325301205,0.002891566265060241,0.008674698795180723,0.012289156626506023,0.08795180722891566,0.1672289156626506,0.015180722891566266,0.010120481927710845,0.037108433734939765,0.01566265060240964,0.0655421686746988,0.05349397590361446,0.02457831325301205,0.03156626506024096,0.06289156626506025,0.0,0.0004819277108433735,0.03879518072289157,0.051807228915662654,0.002409638554216868,0.06843373493975903,0.060240963855421686,0.0,0.006024096385542169,0.06457831325301205,Less-DILI-Concern,Ambiguous DILI-concern,
alemtuzumab,0.0479353298508521,0.03268962583024085,0.00132365802349493,0.00581464060320987,0.02689862197745054,0.013945682747535871,0.05493180797503959,0.13125487507977404,0.007823764388871817,0.019736686600326188,0.10853995792658426,0.03734606566289266,0.07419575956697473,0.017042097052497217,0.045240740303023136,0.01746755856004916,0.10615264613420948,0.0029545938024440398,0.0005200085092301512,0.02990048928073368,0.02486586144136904,0.008816507906493016,0.05112629115749167,0.09402699316897913,0.0037582433167088185,0.006405559363698679,0.029285933769825325,No-DILI-Concern,vNo-DILI-Concern,
alendronate,0.021150894602947667,0.02324636096685799,0.003300885141811913,0.010253067860872246,0.010925859736910343,0.02019777277856036,0.12321902879689395,0.09330081505932483,0.007596941600263509,0.010757661767900821,0.042014451008837404,0.11117184926658676,0.040773990987392164,0.033828816517040554,0.15082452046058212,0.0202748635143564,0.055295082311881086,0.0002733216996404769,0.008185634491796845,0.0359523158757858,0.021045770872316717,0.013392763282383363,0.0363938355444358,0.040626817764508834,0.004106833743315883,0.029364562089579438,0.032525282257216744,No-DILI-Concern,vLess-DILI-Concern,C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN
alfentanil,0.003779697624190065,0.0826133909287257,0.0021598272138228947,0.0021598272138228947,0.0,0.011339092872570195,0.21814254859611232,0.05075593952483801,0.009719222462203024,0.09557235421166306,0.003779697624190065,0.026997840172786176,0.02537796976241901,0.0021598272138228947,0.0091792656587473,0.0005399568034557237,0.14254859611231102,0.007019438444924407,0.0016198704103671704,0.008639308855291577,0.0026997840172786176,0.0021598272138228947,0.11069114470842333,0.11447084233261337,0.0005399568034557237,0.0005399568034557237,0.06479481641468683,No-DILI-Concern,vNo-DILI-Concern,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCN3C(=O)N(N=N3)CC)COC
alfuzosin,0.02112084483379335,0.04944197767910717,0.00012000480019200769,0.013800552022080885,0.0006000240009600384,0.02244089763590544,0.09768390735629426,0.13152526101044046,0.013080523220928838,0.0033601344053762147,0.012360494419776793,0.029521180847233888,0.041641665666626665,0.00984039361574463,0.030121204848193923,0.005520220808832354,0.187207488299532,0.00024000960038401538,0.010320412816512659,0.03336133445337813,0.04296171846873875,0.027721108844353776,0.03636145445817833,0.09024360974438976,0.0010800432017280689,0.0010800432017280689,0.08724348973958958,Less-DILI-Concern,vLess-DILI-Concern,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC
aliskiren,0.01000508733254197,0.055197558080379856,0.0020349330167881968,0.007630998812955741,0.0040698660335763935,0.0185687637781923,0.08334746481261658,0.13422079023232153,0.00576564354756656,0.008394098694251314,0.022129896557571648,0.02424961845005935,0.12650500254366628,0.04570120400203493,0.03569611666949296,0.010852976089537052,0.09284381889096152,0.000763099881295574,0.005341699169069018,0.028149906732236725,0.05604544683737494,0.0041546549092759035,0.05604544683737494,0.06664405629981346,0.0018653552653891809,0.01102255384093607,0.08275394268272003,No-DILI-Concern,vLess-DILI-Concern,CC(C)[C@@H](CC1=CC(=C(C=C1)OC)OCCCOC)C[C@@H]([C@H](C[C@@H](C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N
allopurinol,0.06073392660733926,0.01181881811818818,0.00127987201279872,0.0033196680331966802,0.0008399160083991602,0.01635836416358364,0.06843315668433157,0.10126987301269873,0.033996600339966,0.017518248175182483,0.023737626237376262,0.013878612138786122,0.04343565643435657,0.02021797820217978,0.022557744225577443,0.002999700029997,0.03847615238476152,0.0008799120087991201,0.0021997800219978004,0.012418758124187579,0.03993600639936006,0.007699230076992302,0.02451754824517548,0.4114988501149885,0.00055994400559944,0.0019998000199979997,0.01741825817418258,Most-DILI-Concern,vMost-DILI-Concern,C1=C2C(=NC=NC2=O)NN1
almotriptan,0.0043383947939262466,0.06399132321041215,0.0032537960954446853,0.015184381778741863,0.0032537960954446853,0.01735357917570499,0.10086767895878523,0.16919739696312364,0.0032537960954446853,0.0075921908893709315,0.009761388286334056,0.10845986984815617,0.02386117136659436,0.0043383947939262466,0.04013015184381779,0.006507592190889371,0.15835140997830802,0.0075921908893709315,0.0509761388286334,0.060737527114967466,0.0021691973969631237,0.006507592190889371,0.0509761388286334,0.0455531453362256,0.0032537960954446853,0.0021691973969631237,0.030368763557483733,No-DILI-Concern,vNo-DILI-Concern,CN(C)CCC1=CNC2=C1C=C(C=C2)CS(=O)(=O)N3CCCC3
alosetron,0.006787595084844939,0.014043300175541252,0.0003510825043885313,0.0018724400234055004,0.00023405500292568755,0.005500292568753657,0.504154476301931,0.16746635459332945,0.0071386775892334706,0.0016383850204798127,0.029724985371562318,0.0197776477472206,0.03686366296079579,0.020128730251609127,0.029607957870099476,0.003042715038033938,0.047747220596840265,0.0014043300175541251,0.002691632533645407,0.0272674078408426,0.009830310122878877,0.009128145114101814,0.01614979520187244,0.01942656524283207,0.0011702750146284375,0.003861907548273844,0.012990052662375658,Less-DILI-Concern,vLess-DILI-Concern,CC1=C(N=CN1)CN2CCC3=C(C2=O)C4=CC=CC=C4N3C
alpidem,0.04794520547945205,0.0,0.0,0.02054794520547945,0.00684931506849315,0.0136986301369863,0.0410958904109589,0.0684931506849315,0.3424657534246575,0.0,0.0,0.0,0.13013698630136986,0.0,0.0136986301369863,0.0,0.13013698630136986,0.00684931506849315,0.0,0.0684931506849315,0.00684931506849315,0.00684931506849315,0.0,0.0821917808219178,0.0,0.0,0.0136986301369863,Most-DILI-Concern,vMost-DILI-Concern,CCCN(CCC)C(=O)CC1=C(N=C2N1C=C(C=C2)Cl)C3=CC=C(C=C3)Cl
alprazolam,0.005815526102245064,0.06261833919394104,0.003258170014999877,0.0063810952369242864,0.002249981557528217,0.013290874664961762,0.04767993704969632,0.14327341579167382,0.007586003393414808,0.010930238276735437,0.010069589593527922,0.13186367324857992,0.032348095507413875,0.013376939533282516,0.01906951582364079,0.0032827599773772352,0.1303759805247498,0.00393439398037721,0.010118769518282635,0.2153097105761428,0.00935648068458455,0.005483561610150737,0.049339759510167946,0.029864509307300762,0.012344161113433495,0.004610617945754543,0.016167900263112597,Less-DILI-Concern,vLess-DILI-Concern,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4
alteplase,0.013051643192488265,0.06718309859154929,0.001455399061032864,0.0005633802816901409,0.00042253521126760566,0.012159624413145541,0.07300469483568076,0.1863849765258216,0.002300469483568075,0.01624413145539906,0.013990610328638495,0.05859154929577465,0.03793427230046948,0.004037558685446009,0.010985915492957745,0.002488262910798122,0.2578403755868545,0.0015023474178403756,0.009671361502347415,0.012300469483568076,0.014929577464788731,0.0020657276995305163,0.05173708920187793,0.05967136150234743,0.00042253521126760566,0.0029577464788732395,0.08610328638497652,No-DILI-Concern,vNo-DILI-Concern,
altretamine,0.12781954887218044,0.030075187969924814,0.0,0.030075187969924814,0.0,0.030075187969924814,0.21804511278195488,0.10526315789473684,0.0075187969924812035,0.0,0.022556390977443608,0.015037593984962403,0.030075187969924814,0.030075187969924814,0.022556390977443608,0.0075187969924812035,0.15789473684210525,0.0,0.0,0.06766917293233082,0.022556390977443608,0.0,0.022556390977443608,0.022556390977443608,0.0,0.0075187969924812035,0.022556390977443608,Less-DILI-Concern,Ambiguous DILI-concern,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C
alvimopan,0.013812154696132596,0.16574585635359115,0.0,0.0,0.0,0.0,0.17403314917127072,0.09944751381215468,0.011049723756906077,0.013812154696132596,0.03314917127071823,0.18232044198895028,0.052486187845303865,0.03038674033149171,0.0055248618784530384,0.008287292817679558,0.03591160220994475,0.0,0.008287292817679558,0.022099447513812157,0.011049723756906077,0.0,0.06077348066298342,0.016574585635359115,0.0,0.027624309392265192,0.027624309392265192,No-DILI-Concern,vNo-DILI-Concern,C[C@H]1CN(CC[C@@]1(C)C2=CC(=CC=C2)O)C[C@H](CC3=CC=CC=C3)C(=O)NCC(=O)O
amantadine,0.014617057260207782,0.02609325924136265,0.0009664170089393572,0.0053152935491664645,0.002899251026818072,0.0288717081420633,0.06583715873399372,0.13904324716115005,0.010147378593863252,0.006040106305870983,0.02319400821454457,0.05436095675283885,0.035999033582991065,0.020657163566078763,0.02464363372795361,0.004590480792461948,0.17769992751872432,0.0012080212611741967,0.002416042522348393,0.20173955061609086,0.027180478376419424,0.0042280744141096884,0.028267697511476206,0.05641459289683499,0.0037448659096400096,0.004952887170814206,0.0288717081420633,Less-DILI-Concern,Ambiguous DILI-concern,C1C2CC3CC1CC(C2)(C3)N
ambenonium,0.02097902097902098,0.04895104895104895,0.013986013986013986,0.006993006993006993,0.0,0.04895104895104895,0.1958041958041958,0.1048951048951049,0.006993006993006993,0.006993006993006993,0.0,0.013986013986013986,0.02797202797202797,0.006993006993006993,0.04895104895104895,0.006993006993006993,0.2027972027972028,0.006993006993006993,0.0,0.02097902097902098,0.006993006993006993,0.0,0.06993006993006994,0.1048951048951049,0.0,0.0,0.02797202797202797,No-DILI-Concern,vNo-DILI-Concern,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=CC=CC=C1Cl)CC2=CC=CC=C2Cl
ambrisentan,0.011557485989888056,0.04844278804653138,0.0015414548593508078,0.004918953728950577,0.0007398983324883877,0.010105092966855295,0.06712522094186317,0.2026773358179302,0.0060630557801131775,0.005905484838935094,0.08963731279887098,0.04138635024594769,0.05678034610799775,0.03993395722291493,0.0366386692791472,0.008406067166326405,0.08627351575024321,0.00040420371867421184,0.004617513667566421,0.015229574010385981,0.013420933642081032,0.0023224586547552174,0.15866708685584313,0.02038145869586068,0.0026992587314854143,0.031623802803392574,0.03250071934560103,Less-DILI-Concern,Ambiguous DILI-concern,CC1=CC(=NC(=N1)OC(C(=O)O)C(C2=CC=CC=C2)(C3=CC=CC=C3)OC)C
amifostine,0.0418859649122807,0.04232456140350877,0.0004385964912280702,0.0030701754385964912,0.0008771929824561404,0.006359649122807017,0.12785087719298247,0.16074561403508772,0.0057017543859649135,0.019956140350877196,0.05043859649122807,0.017763157894736842,0.04912280701754386,0.05241228070175439,0.019956140350877196,0.007456140350877194,0.07171052631578947,0.0,0.0008771929824561404,0.01732456140350877,0.025219298245614037,0.0008771929824561404,0.061622807017543864,0.11929824561403507,0.0017543859649122807,0.001973684210526316,0.09298245614035087,No-DILI-Concern,vNo-DILI-Concern,C(CN)CNCCSP(=O)(O)O
amikacin,0.03872652114003916,0.02153890782507796,0.0010153020523605773,0.06425411559939083,0.0010153020523605773,0.011023279425629123,0.10102255420987744,0.1185727754006817,0.018710566393502062,0.027123069113061136,0.043875552977010665,0.010950757850460513,0.04764667488577852,0.012908840380013055,0.01283631880484444,0.0012328667778664152,0.06867793168467619,0.00043512945101167595,0.0003626078758430633,0.011385887301472188,0.06882297483501341,0.00108782362752919,0.04278772934948147,0.2512147363840743,0.00029008630067445067,0.0008702589020233519,0.021611429400246573,No-DILI-Concern,vNo-DILI-Concern,C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1NC(=O)[C@H](CCN)O)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)N)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CN)O)O)O)N
amiloride,0.03356121814791796,0.026724673710379118,0.0006215040397762585,0.007458048477315102,0.00435052827843381,0.011187072715972655,0.08825357364822871,0.08266003729024239,0.01678060907395898,0.00435052827843381,0.01305158483530143,0.02237414543194531,0.05282784338098197,0.13983840894965818,0.029210689869484156,0.002486016159105034,0.08825357364822871,0.001243008079552517,0.004972032318210068,0.041019266625233065,0.06525792417650715,0.0254816656308266,0.032939714108141706,0.1709136109384711,0.0,0.0006215040397762585,0.03356121814791796,Less-DILI-Concern,vLess-DILI-Concern,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N
amineptine,0.025777103866565582,0.006823351023502654,0.0037907505686125853,0.0037907505686125853,0.0037907505686125853,0.0030326004548900678,0.05307050796057619,0.05231235784685368,0.3457164518574678,0.004548900682335102,0.0037907505686125853,0.0037907505686125853,0.15769522365428354,0.00985595147839272,0.016679302501895376,0.0,0.047763457164518575,0.0007581501137225169,0.0,0.1508718726307809,0.008339651250947688,0.0030326004548900678,0.004548900682335102,0.0803639120545868,0.0,0.0,0.00985595147839272,Most-DILI-Concern,vMost-DILI-Concern,C1CC2=CC=CC=C2C(C3=CC=CC=C31)[NH2+]CCCCCCC(=O)O.[Cl-]
